source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Sclerotherapy,United States,295331,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Soft Tissue Fillers,United States,3410730,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Total,,United States,13281235,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Total,,United States,15595955,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Breast augmentation (Augmentation mammaplasty),United States,193073,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Breast implant removals (Augmentation patients only),United States,36367,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Breast lift (Mastopexy),United States,87051,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Breast reduction (Aesthetic patients only),United States,33574,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Breast reduction in men (Gynecomastia),United States,18575,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Buttock augmentation with fat grafting,United States,21823,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Buttock implants,United States,1179,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Buttock lift,United States,2872,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Calf augmentation,United States,299,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Cheek implant (Malar augmentation),United States,108189,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Chin augmentation (Mentoplasty),United States,43900,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Dermabrasion,United States,139933,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Ear surgery (Otoplasty),United States,53095,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Eyelid surgery (Blepharoplasty),United States,325112,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Facelift (Rhytidectomy),United States,234374,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Forehead lift,United States,88675,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Hair transplantation,United States,9670,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Labiaplasty,United States,9725,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Lip augmentation (other than injectable materials),United States,34236,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Lip reduction,United States,18301,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic surgery procedures,Cosmetic surgical procedures,Liposuction,United States,211067,procedures,2020,ASPS,2020 ASPS cosmetic procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
