source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Surgical procedures,Local survey total surgical procedures,,Japan,371589,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Surgical procedures,Face and Head,,Japan,303360,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Surgical procedures,Breast,,Japan,19252,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Surgical procedures,Body and Extremities,,Japan,48977,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Non-surgical procedures,Local survey total non-surgical procedures,,Japan,2899470,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Injectables,Local survey total injectables,,Japan,1067977,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Facial rejuvenation,Local survey total facial rejuvenation,,Japan,1031361,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Other non-surgical,Local survey total other non-surgical,,Japan,800132,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Surgical procedures,Thread Lift,,Japan,73296,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS local item from public PDF extraction; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,Surgical procedures,Eyelid Surgery,,Japan,129587,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS local item from public PDF extraction; keep parallel to ISAPS.,official_association_report_local_japan
