seed_record_id,product_id,company,brand,standard_product_name,action_group,reason,source_url
REC_0570,prod_8ff2089359ed,Protect-Laserschutz,Protect,Laser Safety Eyewear,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0583,prod_d09b2ffe38d4,Quanta System,Quanta,Youlaser MT,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0404,prod_0197583f2e96,Receptura Apotheke,Lipodissolve,PPC / DC (Phosphatidylcholine),B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0508,prod_e4e5d09625ac,Recros Medica,Nuvell,Rotational Fractional Resection,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0137,prod_36e16dbfca8b,Samyang Holdings,Croquis,Croquis Threads,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0550,prod_432f37e9095f,Seoulin Medicare,Plasmage,Plasmage,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
TOPLINE_SINCLAIR_PERFECTHA_20260530,prod_357be20483fc,Sinclair Pharma,Perfectha,HA Dermal Filler Line,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0750,prod_e7ec253d23d6,Sinclair Pharma,Viora,Pristine,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_SKINTECH_PEEL2GLOW,prod_ef673f39c229,Skin Tech,Peel2Glow,Peel2Glow,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0622_RRS_HA_LONG_LASTING,prod_9dc8a1da4d72,Skin Tech,RRS HA Long Lasting,RRS HA Long Lasting,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0625,prod_fe4450415c14,Skin Tech,XL Hair,XL Hair,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
UPR_KARISMA_001,prod_a11a36bc340c,Taumedika SRL,Karisma FACE Rh Collagen,Karisma FACE Rh Collagen,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0598,prod_aef38a23730f,Tentech,Regevan,Regevan PN,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0021,prod_81b428fce6e4,Union Medical,AirJet,AirJet II,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0730,prod_aa09a611a6d8,Utsukusy Cosmetics,Utsukusy,Dragon's Blood / Hyaluron,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0755,prod_f5b5d70ac88d,VLCC Personal Care,VLCC,Professional Range,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0370,prod_315b1d771ebc,Vaim,Juvelook,Juvelook / Lenisna,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0763,prod_d6d866cbb755,Wonder Technology,Wonder,Wonder Axon / Prestige,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0944,prod_c0cd8164840f,Wontech,PICOALEX,PICOALEX,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0943,prod_bb2703fb8d76,Wontech,ULTRASKIN,ULTRASKIN TIGHTAN II,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0768,prod_5d828f26cb5c,Woorhi Mecha,Woorhi,Laser Arms / EBD,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0123,prod_ecbcf82d6a6e,Zepter,Color Light Therapy Set,Color Filters,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0637,prod_4a99fc6fd9a0,e Sebbin,Sebbin,Integrity / Purity,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
