priority,gap_score,company,company_product_count,company_priority_rank,brand,standard_product_name,product_id,seed_record_id,product_family_ids,track,form,technology,material_or_energy,verification_status,source_status,direct_official_urls,fuzzy_official_urls,direct_spec_candidates,fuzzy_spec_candidates,spec_tier_A,spec_tier_B,spec_tier_C,registration_rows,official_indication_rows,mdr_ce_candidate_rows,lead_official_url,lead_spec_url,lead_registration_url,evidence_mix,issues,recommended_next_action
P2,30,Asclepion Laser,5,,MeDioStar Monolith,半导体脱毛激光,prod_25b2bc40fbc9,REC_0432,pf_e7eef848ccec,EBD,Laser,Diode Laser,Diode Laser,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",11,0,12,0,2,10,1,0,0,18,https://www.aesolution.com.tw/products-view-21,https://www.aesolution.com.tw/products-view-21,https://www.aesolution.com.tw/products-view-21,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Asclepion Laser,5,,Multipulse PRO,混合激光技术,prod_f172e5642c73,REC_0471,pf_a103676eeed1,EBD,Laser,CO2 Laser,CO2 Laser,official_product_page_cross_checked,"seed_from_workbook, official_product_page",11,0,10,0,2,8,3,0,0,18,https://alfaspa.ua/obladnanya/asclepion/asclepion-multipulse-pro.html,https://jenasurgical.com/wp-content/uploads/2025/04/JS_MULTIPULSE_PRO_DUO_1024_US_web.pdf,https://alfaspa.ua/ru/obladnanya/asclepion/asclepion-multipulse-pro.html,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Asclepion Laser,5,,QuadroStar Pro,血管治疗激光,prod_919da12e7d30,REC_0580,pf_e01135a21601,EBD,Laser,Yellow Laser,Yellow Laser,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",12,0,25,0,2,23,0,0,0,18,https://www.aesolution.com.tw/products-view-30,https://www.md.myproyellow.com/,https://www.aesolution.com.tw/products-view-30,ce_notified_body_certificate:5; official_search_excerpt_spec_candidate:4; official_site_spec_candidate:1,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Beauty Health,7,,Keravive,专用头皮护理 (Scalp Health),prod_7876b0099060,REC_0381,pf_cd436280bf34,Injectables,Skin Booster,Hyaluronic Acid,Hyaluronic Acid,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",16,0,7,0,5,2,0,0,0,18,https://aestheticchapter.sg/keravive/,https://aestheticchapter.sg/keravive/,https://www.ai-beauty.co.uk/hydrafacial-keravive-for-fuller-and-healthier-hair/,ce_notified_body_certificate:5; official_site_spec_candidate:4; official_search_excerpt_spec_candidate:1,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,BioPlus,6,,HyalDew,HA Dermal Filler,prod_92f8a1e94062,REC_0328,pf_4e8d147a25dc,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",14,0,50,0,14,36,0,0,0,18,https://www.audreyaesthetic.com/product/hyaldew/,https://ubioplus.com/,https://www.audreyaesthetic.com/product/hyaldew/,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,BioPlus,6,,REJURAN,REJURAN,prod_4efdfa479c82,REC_0968,pf_0f42e3eb5449,Injectables,Skin Booster,Hyaluronic Acid,Hyaluronic Acid,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",15,0,83,0,11,72,6,0,0,18,http://bioplus-kiarareju.com/KiaraReju,https://www.rejuran.com.au/pages/s,https://www.koreabiomed.com/news/articleView.html?idxno=26154,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,BioPlus,6,,SkinPlus-Hyal,HA Dermal Filler,prod_84777f8a86ec,REC_0663,pf_c8e1bc8b7975,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",14,0,50,0,11,39,6,0,0,18,https://bioplusshop.com/category/skinplus-hyal/86/?page=1,https://ubioplus.com/,https://www.gangnamstyle-shop.com/en/2_bio-plus-korea,official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Dongkook Pharma,5,,Bellast (贝拉斯特),HA Dermal Filler,prod_0514ecba49cc,REC_0068,pf_9c8dd34a8ee6,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_product_page_cross_checked,"seed_from_workbook, official_product_page",14,0,99,0,21,78,6,0,0,18,http://www.dkpharm.co.kr/en/m/product/view.php?idx=23,https://www.eleglobals.com/product/bellast-ultra-l/,http://dkpharm.co.kr/m/boards/view.php?btype=news&idx=93&page=47&stext=&stype=news,ce_notified_body_certificate:5; official_search_excerpt_spec_candidate:3; official_site_spec_candidate:2,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Dongkook Pharma,5,,Centellian24 (Madeca Cream),Cosmeceuticals,prod_d3653ff5a469,REC_0112,pf_55812286212d,EBD,Microneedling,Microneedling,Microneedling,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate",10,0,7,0,2,5,1,0,0,18,https://centellian24.com/pages/brand,https://centellian24.com/products/centellian24-expert-madeca-cream-active-renew-pdrn-50ml,https://centellian24.com/pages/brand,ce_notified_body_certificate:5; official_search_excerpt_spec_candidate:3; official_site_spec_candidate:2,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Dongkook Pharma,5,,Hyaron (海珠),HA Skin Booster,prod_ff0ece9e27eb,REC_0332,pf_5abb08df44c6,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_document_cross_checked,"seed_from_workbook, official_product_document, official_product_page",12,0,109,0,41,68,2,0,0,18,https://facepharmkorea.com/product/hyaron-prefilled-inj-2-5ml10-syr/,https://upkeepskin.com/product/hyaron/,https://www.koreapdo.com/sale-14035207-korea-dongkook-hyaron-mesotherapy-solution-hyaluronic-acid-injection-dermal-filler.html,ce_notified_body_certificate:5; official_search_excerpt_spec_candidate:3; official_site_spec_candidate:2,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
