queue_id,priority,source_table,source_row_key,triage_bucket,product_id,seed_record_id,company_id,company,brand,jurisdiction,regulator,regulatory_pathway,status,registration_no,approval_date,registered_name,source_type,source_key,source_url,evidence_title,review_status,confidence,suggested_action,generated_at
registration-189,P1,registration_evidence,189,new_product_candidate_resolution,,,co_0bb8193c1281,DEKA,Deka,US,FDA,510(k),Substantially Equivalent,K231971,2023-09-26,DEKA PHYSIQ 360,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231971,K231971 · DEKA PHYSIQ 360,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-191,P1,registration_evidence,191,new_product_candidate_resolution,,,co_0bb8193c1281,DEKA,Deka,US,FDA,510(k),Substantially Equivalent,K150516,2015-04-13,DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150516,K150516 · DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-192,P1,registration_evidence,192,new_product_candidate_resolution,,,co_0bb8193c1281,DEKA,Deka,US,FDA,510(k),Substantially Equivalent,K233473,2024-05-16,DEKA LOTUS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233473,K233473 · DEKA LOTUS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-193,P1,registration_evidence,193,new_product_candidate_resolution,,,co_0bb8193c1281,DEKA,Motus AX / AY,US,FDA,510(k),Substantially Equivalent,K063072,2006-12-20,CANDELA FAMILY OF Q-SWITCHED ALEXANDRITE LASER (ALEXLAZR) SYSTEMS: 532 AND 1064 ND:YAG HANDPIECE ACCESSORIES,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K063072,K063072 · CANDELA FAMILY OF Q-SWITCHED ALEXANDRITE LASER (ALEXLAZR) SYSTEMS: 532 AND 1064 ND:YAG HANDPIECE ACCESSORIES,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-165,P1,registration_evidence,165,new_product_candidate_resolution,,,co_9ebcc3762c46,El.En.,DEKA,US,FDA,510(k),Substantially Equivalent,K231971,2023-09-26,DEKA PHYSIQ 360,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K231971,K231971 · DEKA PHYSIQ 360,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-168,P1,registration_evidence,168,new_product_candidate_resolution,,,co_9ebcc3762c46,El.En.,DEKA,US,FDA,510(k),Substantially Equivalent,K150516,2015-04-13,DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150516,K150516 · DEKA SYNCHRO REPLA:Y FAMILY OF LASER SYSTEMS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-169,P1,registration_evidence,169,new_product_candidate_resolution,,,co_9ebcc3762c46,El.En.,DEKA,US,FDA,510(k),Substantially Equivalent,K233473,2024-05-16,DEKA LOTUS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K233473,K233473 · DEKA LOTUS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-293,P1,registration_evidence,293,new_product_candidate_resolution,,,co_c87804d7fff0,EndyMed Medical,,US,FDA,510(k),Substantially Equivalent,K222369,2022-10-07,PURE Laser,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222369,K222369 · PURE Laser,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-233,P1,registration_evidence,233,new_product_candidate_resolution,,,co_b32d369099fd,Fotona d.o.o.,,US,FDA,510(k),Substantially Equivalent,K223540,2023-01-19,AvalancheLase Family,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K223540,K223540 · AvalancheLase Family,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-257,P1,registration_evidence,257,new_product_candidate_resolution,,,co_bac5ab36d84d,Hironic,,US,FDA,510(k),Substantially Equivalent,K260397,2026-04-06,SYNERJET PRO (SP-1002); InPhiuse (SP-1002); WOWJET (SP-1002),official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K260397,K260397 · SYNERJET PRO (SP-1002); InPhiuse (SP-1002); WOWJET (SP-1002),manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
